AUTAUGA ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1000,6883,313,4.55,654.22
BALDWIN ,AL ,H0630 ,KAISER FOUNDATION HP OF CO ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1019 ,CAREONE HEALTH PLAN  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1099 ,HEALTH FIRST HEALTH PLANS  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1350 ,BLUE CROSS OF IDAHO HEALTH SERVICES  INC ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1849 ,ANTHEM HEALTH PLANS OF KENTUCKY  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H2408 ,UNITED HEALTHCARE INSURANCE COMPANY ,PFFS ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H2654 ,UNITED HEALTHCARE OF THE MIDWEST  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H2663 ,GROUP HEALTH PLAN  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H2961 ,HEALTH PLAN OF NEVADA  INC. ,DEMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H3659 ,UNITED HEALTHCARE OF OHIO  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H3672 ,HOMETOWN HEALTH PLAN ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H3931 ,AETNA HEALTH INC ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H3957 ,KEYSTONE HEALTH PLAN WEST  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H4406 ,UNITED HEALTHCARE OF TENNESSEE  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H4506 ,SELECTCARE OF TEXAS  L.L.C. ,PSO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H5006 ,STERLING LIFE INSURANCE COMPANY ,PFFS ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H5417 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H6053 ,SANTE FE EMPLOYEES HOSPITAL ASSN. ,HCPP ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H6140 ,WABASH MEM. HOSPITAL ,HCPP ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H6141 ,SIDNEY HILLMAN HC ,HCPP ,1010,30437,  ,  ,654.22
BARBOUR ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1020,4698,102,2.17,637.68
BARBOUR ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1020,4698,  ,  ,637.68
BARBOUR ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1020,4698,  ,  ,637.68
BARBOUR ,AL ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,1020,4698,  ,  ,637.68
BARBOUR ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1020,4698,  ,  ,637.68
BIBB ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1030,3840,35,0.91,693.7
BIBB ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1030,3840,335,8.72,693.7
BIBB ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1030,3840,220,5.73,693.7
BIBB ,AL ,H0102 ,UNITED HEALTHCARE INSURANCE COMPANY ,DEMP ,1030,3840,  ,  ,693.7
BIBB ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1030,3840,  ,  ,693.7
BIBB ,AL ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,1030,3840,  ,  ,693.7
BIBB ,AL ,H1459 ,ILLINOIS CENTRAL HOSPITAL ASSOCIATION ,HCPP ,1030,3840,  ,  ,693.7
BIBB ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1030,3840,  ,  ,693.7
BIBB ,AL ,H6143 ,UNION MEDICAL CENTER ,HCPP ,1030,3840,  ,  ,693.7
BLOUNT ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1040,7191,35,0.49,698.76
BLOUNT ,AL ,H0102 ,UNITED HEALTHCARE INSURANCE COMPANY ,DEMP ,1040,7191,18,0.25,698.76
BLOUNT ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1040,7191,332,4.62,698.76
BLOUNT ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1040,7191,872,12.13,698.76
BLOUNT ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1040,7191,741,10.3,698.76
BLOUNT ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1040,7191,  ,  ,698.76
BLOUNT ,AL ,H1459 ,ILLINOIS CENTRAL HOSPITAL ASSOCIATION ,HCPP ,1040,7191,  ,  ,698.76
BULLOCK ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1050,1880,32,1.7,591.91
BULLOCK ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1050,1880,  ,  ,591.91
BULLOCK ,AL ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,1050,1880,  ,  ,591.91
BULLOCK ,AL ,H1013 ,VISTA HEALTHPLAN OF SOUTH FLORIDA  INC. ,HMO ,1050,1880,  ,  ,591.91
BULLOCK ,AL ,H1019 ,CAREONE HEALTH PLAN  INC. ,HMO ,1050,1880,  ,  ,591.91
BULLOCK ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1050,1880,  ,  ,591.91
BULLOCK ,AL ,H3655 ,COMMUNITY INSURANCE COMPANY ,HMO ,1050,1880,  ,  ,591.91
BUTLER ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1060,4228,21,0.5,682.36
BUTLER ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1060,4228,  ,  ,682.36
BUTLER ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1060,4228,  ,  ,682.36
CALHOUN ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1070,23224,841,3.62,685.51
CALHOUN ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H0609 ,PACIFICARE OF COLORADO  INC ,HMO ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H3312 ,AETNA HEALTH INC. ,HMO ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H4456 ,JOHN DEERE HEALTH PLAN  INC. ,HMO ,1070,23224,  ,  ,685.51
CALHOUN ,AL ,H5417 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,1070,23224,  ,  ,685.51
CHAMBERS ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1080,7380,  ,  ,591.91
CHAMBERS ,AL ,H0543 ,PACIFICARE OF CALIFORNIA/SECURE HORIZONS ,HMO ,1080,7380,  ,  ,591.91
CHAMBERS ,AL ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,1080,7380,  ,  ,591.91
CHAMBERS ,AL ,H1170 ,KAISER FOUNDATION HP OF GA  INC. ,HMO ,1080,7380,  ,  ,591.91
CHAMBERS ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1080,7380,  ,  ,591.91
CHAMBERS ,AL ,H3330 ,HIP OF GREATER NEW YORK ,HMO ,1080,7380,  ,  ,591.91
CHAMBERS ,AL ,H4461 ,CARITEN HEALTH PLAN IN ,HMO ,1080,7380,  ,  ,591.91
CHAMBERS ,AL ,H6334 ,NY HOTEL TRADES COUNCIL&HOTEL ASSN OF NYC ,HCPP ,1080,7380,  ,  ,591.91
CHEROKEE ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1090,4477,28,0.63,646.62
CHEROKEE ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1090,4477,  ,  ,646.62
CHEROKEE ,AL ,H0540 ,UNICARE LIFE & HEALTH INS. COMPANY ,PFFS ,1090,4477,  ,  ,646.62
CHEROKEE ,AL ,H1080 ,UNITED HEALTHCARE OF FL  INC. ,HMO ,1090,4477,  ,  ,646.62
CHEROKEE ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1090,4477,  ,  ,646.62
CHEROKEE ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1090,4477,  ,  ,646.62
CHILTON ,AL ,H0102 ,UNITED HEALTHCARE INSURANCE COMPANY ,DEMP ,1100,6287,13,0.21,716.52
CHILTON ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1100,6287,546,8.68,716.52
CHILTON ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1100,6287,873,13.89,716.52
CHILTON ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1100,6287,15,0.24,716.52
CHILTON ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1100,6287,  ,  ,716.52
CHILTON ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1100,6287,  ,  ,716.52
CHILTON ,AL ,H1080 ,UNITED HEALTHCARE OF FL  INC. ,HMO ,1100,6287,  ,  ,716.52
CHILTON ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1100,6287,  ,  ,716.52
CHILTON ,AL ,H3330 ,HIP OF GREATER NEW YORK ,HMO ,1100,6287,  ,  ,716.52
CHOCTAW ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1110,3185,  ,  ,641.78
CHOCTAW ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1110,3185,  ,  ,641.78
CHOCTAW ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1110,3185,  ,  ,641.78
CHOCTAW ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1110,3185,  ,  ,641.78
CHOCTAW ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1110,3185,  ,  ,641.78
CLARKE ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1120,5492,  ,  ,591.91
CLARKE ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1120,5492,  ,  ,591.91
CLARKE ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1120,5492,  ,  ,591.91
CLARKE ,AL ,H1026 ,HEALTH OPTIONS  INC ,HMO ,1120,5492,  ,  ,591.91
CLARKE ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1120,5492,  ,  ,591.91
CLARKE ,AL ,H3330 ,HIP OF GREATER NEW YORK ,HMO ,1120,5492,  ,  ,591.91
CLARKE ,AL ,H3655 ,COMMUNITY INSURANCE COMPANY ,HMO ,1120,5492,  ,  ,591.91
CLAY ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1130,3007,64,2.13,591.91
CLAY ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1130,3007,  ,  ,591.91
CLAY ,AL ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,1130,3007,  ,  ,591.91
CLAY ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1130,3007,  ,  ,591.91
CLEBURNE ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1140,2752,73,2.65,607.41
CLEBURNE ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1140,2752,  ,  ,607.41
CLEBURNE ,AL ,H1170 ,KAISER FOUNDATION HP OF GA  INC. ,HMO ,1140,2752,  ,  ,607.41
COFFEE ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1150,8093,  ,  ,599.42
COFFEE ,AL ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,1150,8093,  ,  ,599.42
COFFEE ,AL ,H1034 ,AMERICA'S HEALTH CHOICE MEDICAL PLAN ,HMO ,1150,8093,  ,  ,599.42
COFFEE ,AL ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,1150,8093,  ,  ,599.42
COFFEE ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1150,8093,  ,  ,599.42
COFFEE ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1150,8093,  ,  ,599.42
COFFEE ,AL ,H2150 ,KAISER FNDN HP OF THE MID-ATLANTIC STS ,COST ,1150,8093,  ,  ,599.42
COFFEE ,AL ,H2450 ,MEDICA INSURANCE COMPANY ,COST ,1150,8093,  ,  ,599.42
COLBERT ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1160,11375,  ,  ,648.58
COLBERT ,AL ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,1160,11375,  ,  ,648.58
COLBERT ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1160,11375,  ,  ,648.58
CONECUH ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1170,2865,272,9.49,709.52
CONECUH ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1170,2865,  ,  ,709.52
CONECUH ,AL ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,1170,2865,  ,  ,709.52
CONECUH ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1170,2865,  ,  ,709.52
COOSA ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1180,2392,134,5.6,591.91
COOSA ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1180,2392,  ,  ,591.91
COOSA ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1180,2392,  ,  ,591.91
COOSA ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1180,2392,  ,  ,591.91
COVINGTON ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1190,8425,  ,  ,629.19
COVINGTON ,AL ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,1190,8425,  ,  ,629.19
COVINGTON ,AL ,H1034 ,AMERICA'S HEALTH CHOICE MEDICAL PLAN ,HMO ,1190,8425,  ,  ,629.19
COVINGTON ,AL ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,1190,8425,  ,  ,629.19
COVINGTON ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1190,8425,  ,  ,629.19
COVINGTON ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1190,8425,  ,  ,629.19
COVINGTON ,AL ,H2667 ,MERCY HEALTH PLANS OF MISSOURI INC. ,HMO ,1190,8425,  ,  ,629.19
COVINGTON ,AL ,H3655 ,COMMUNITY INSURANCE COMPANY ,HMO ,1190,8425,  ,  ,629.19
CRENSHAW ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1200,2996,17,0.57,591.91
CRENSHAW ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1200,2996,  ,  ,591.91
CRENSHAW ,AL ,H1013 ,VISTA HEALTHPLAN OF SOUTH FLORIDA  INC. ,HMO ,1200,2996,  ,  ,591.91
CRENSHAW ,AL ,H5404 ,UNIVERSAL HEALTH CARE  INC. ,HMO ,1200,2996,  ,  ,591.91
CULLMAN ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1210,14850,24,0.16,651.84
CULLMAN ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1210,14850,616,4.15,651.84
CULLMAN ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1210,14850,  ,  ,651.84
CULLMAN ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1210,14850,  ,  ,651.84
CULLMAN ,AL ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,1210,14850,  ,  ,651.84
CULLMAN ,AL ,H1034 ,AMERICA'S HEALTH CHOICE MEDICAL PLAN ,HMO ,1210,14850,  ,  ,651.84
CULLMAN ,AL ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,1210,14850,  ,  ,651.84
CULLMAN ,AL ,H1080 ,UNITED HEALTHCARE OF FL  INC. ,HMO ,1210,14850,  ,  ,651.84
CULLMAN ,AL ,H1459 ,ILLINOIS CENTRAL HOSPITAL ASSOCIATION ,HCPP ,1210,14850,  ,  ,651.84
CULLMAN ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1210,14850,  ,  ,651.84
CULLMAN ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1210,14850,  ,  ,651.84
DALE ,AL ,H0303 ,PACIFICARE OF ARIZONA  INC ,HMO ,1220,10774,  ,  ,592.88
DALE ,AL ,H1034 ,AMERICA'S HEALTH CHOICE MEDICAL PLAN ,HMO ,1220,10774,  ,  ,592.88
DALE ,AL ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,1220,10774,  ,  ,592.88
DALE ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1220,10774,  ,  ,592.88
DALE ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1220,10774,  ,  ,592.88
DALE ,AL ,H2649 ,HUMANA HEALTH PLAN  INC. ,HMO ,1220,10774,  ,  ,592.88
DALE ,AL ,H3323 ,GROUP HEALTH INCORPORATED ,DEMP ,1220,10774,  ,  ,592.88
DALLAS ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1230,9372,967,10.32,591.91
DALLAS ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1230,9372,  ,  ,591.91
DALLAS ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1230,9372,  ,  ,591.91
DALLAS ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1230,9372,  ,  ,591.91
DALLAS ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1230,9372,  ,  ,591.91
DALLAS ,AL ,H3330 ,HIP OF GREATER NEW YORK ,HMO ,1230,9372,  ,  ,591.91
DE KALB ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1240,11741,25,0.21,591.91
DE KALB ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H0630 ,KAISER FOUNDATION HP OF CO ,HMO ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H1108 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H1459 ,ILLINOIS CENTRAL HOSPITAL ASSOCIATION ,HCPP ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1240,11741,  ,  ,591.91
DE KALB ,AL ,H6143 ,UNION MEDICAL CENTER ,HCPP ,1240,11741,  ,  ,591.91
ELMORE ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1250,11205,11,0.1,654.22
ELMORE ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1250,11205,286,2.55,654.22
ELMORE ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1250,11205,564,5.03,654.22
ELMORE ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1250,11205,58,0.52,654.22
ELMORE ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H1034 ,AMERICA'S HEALTH CHOICE MEDICAL PLAN ,HMO ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H1108 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H2961 ,HEALTH PLAN OF NEVADA  INC. ,DEMO ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H3330 ,HIP OF GREATER NEW YORK ,HMO ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H5006 ,STERLING LIFE INSURANCE COMPANY ,PFFS ,1250,11205,  ,  ,654.22
ELMORE ,AL ,H6050 ,KAISER FOUNDATION HP  INC. ,COST ,1250,11205,  ,  ,654.22
ESCAMBIA ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1260,6952,36,0.52,627.69
ESCAMBIA ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1260,6952,  ,  ,627.69
ESCAMBIA ,AL ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,1260,6952,  ,  ,627.69
ESCAMBIA ,AL ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,1260,6952,  ,  ,627.69
ESCAMBIA ,AL ,H1459 ,ILLINOIS CENTRAL HOSPITAL ASSOCIATION ,HCPP ,1260,6952,  ,  ,627.69
ESCAMBIA ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1260,6952,  ,  ,627.69
ESCAMBIA ,AL ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,1260,6952,  ,  ,627.69
ESCAMBIA ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1260,6952,  ,  ,627.69
ESCAMBIA ,AL ,H3361 ,WELLCARE_OF NEW YORK  INC. ,HMO ,1260,6952,  ,  ,627.69
ETOWAH ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1270,20865,12,0.06,731.34
ETOWAH ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1270,20865,106,0.51,731.34
ETOWAH ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1270,20865,15,0.07,731.34
ETOWAH ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1270,20865,  ,  ,731.34
